stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_6_4301,4301,Maqueda-Tembleque,Calle de Maqueda 45,40.3920573861185,-3.76342701358086,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4302,4302,Colonia Jardín,Calle de Fuentesauco 44,40.3972020435889,-3.77420831277767,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4303,4303,Campamento,Avda del Padre Piquer 8,40.3947091711732,-3.76840299536871,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_5686,5686,Aluche,Calle de Valmojado 293,40.3852145109807,-3.76076378037672,A,http://www.crtm.es,0,est_90_1,,2
par_6_5731,5731,Sebastián Álvaro,Calle de Daniel Segovia 5,40.3948368688508,-3.77290460525339,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4061,4061,Hospital Infanta Leonor-Acceso Principal,Calle  Provisional Hospital Vallecas Dos 5,40.3873609534719,-3.61726366095942,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4062,4062,Hospital Infanta Leonor,Calle   Provisional Hospital Vallecas Dos 6,40.3875851202541,-3.61915085761992,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4063,4063,Hospital Infanta Leonor-Urgencias,Calle  Vial Interior Hospital Infanta leonor SN,40.3870015899291,-3.61622945192956,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4105,4105,Hospital Infanta Leonor-Urgencias,Calle  Provisional Hospital Vallecas Dos 5,40.3871091789712,-3.61632726491909,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4025,4025,Benavente,Calle de la Cruz 37,40.4147924281321,-3.70283944758299,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4035,4035,Mercado San Fernando,Calle de Embajadores 41,40.407650839977,-3.70389670639245,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4036,4036,Embajadores-Centro Mayores,Calle de Embajadores 21,40.409226794959,-3.70548062905131,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4037,4037,Cascorro,Calle de Juanelo 27,40.4109832564263,-3.70700758072692,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4039,4039,Canalejas,Calle de la Cruz 3,40.4163185664483,-3.70075717973462,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4040,4040,Canalejas,Calle del Príncipe 4,40.4163114119749,-3.70045063861943,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4041,4041,Santa Ana,Calle del Príncipe 24,40.414438860003,-3.70023087775465,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4042,4042,Benavente,Calle de Atocha 21,40.4142046591157,-3.70319873405682,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4043,4043,Magdalena,Calle del Olivar 4,40.4121234856577,-3.70172737262587,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4044,4044,San Carlos,Calle del Olivar 32,40.4106280774718,-3.70171186646205,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4045,4045,Lavapiés,Plaza de Lavapiés 8,40.4086585025642,-3.70114929592635,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4056,4056,Plaza Matute,Plaza de Matute 9,40.413160368118,-3.70009978157095,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4057,4057,Embajadores,Gta de Embajadores 1,40.405568588563,-3.7026040792081,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4058,4058,Colegiata,Calle de la Colegiata 17,40.4131998441414,-3.70694823290685,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4060,4060,Miguel Servet,Calle de Miguel Servet 8,40.4071898333623,-3.70118122385758,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_5837,5837,Sevilla,Calle de Sevilla 5,40.4174079377069,-3.70013194362983,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_1773,1773,Sevilla,,40.4183807248626,-3.69941781229089,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_289,289,Arguelles,Calle de Alberto Aguilera 39,40.4305138542699,-3.71523606669187,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4096,4096,Metro Gran Vía,Calle   Gran Vía 25,40.4200355379905,-3.70212181139233,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4129,4129,Valverde,Calle de Valverde 24,40.4220828492399,-3.70174889221438,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4130,4130,San Ildefonso,Calle de la Corredera Baja de San Pablo 53,40.4238397201795,-3.70247369164028,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4131,4131,Corredera,Calle del Pez 4,40.4228846844921,-3.70397010264461,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4132,4132,Pez-Jesús del Valle,Calle del Pez 20,40.4239479236148,-3.70542194653794,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4133,4133,Noviciado,Calle del Pez 42,40.4244519879419,-3.70697151147804,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4134,4134,Reyes,Calle de los Reyes 5,40.424454229464,-3.70881534744506,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4135,4135,Comendadoras,Calle de Amaniel 20,40.4265277462046,-3.70931563579852,A,http://www.crtm.es,0,,Europe/Madrid,1
par_6_4136,4136,Conde Duque,Calle de Amaniel 38,40.4282472032648,-3.70952229738177,A,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4137,4137,Princesa-Centro Comercial,Calle de Serrano Jover 1,40.4296526210192,-3.7146477980719,A,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4138,4138,Santa Cruz Marcenado,Calle de Santa Cruz de Marcenado 29,40.4295926242285,-3.7126886322678,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4139,4139,Conde Duque,Calle del Conde Duque 38,40.4287412564337,-3.70975774147882,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4140,4140,Centro Cultural Conde Duque,Calle del Conde Duque 9 B,40.427108471559,-3.71084288510504,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4141,4141,Travesia Conde Duque,Trva del Conde Duque 1,40.4258322903062,-3.70960306377577,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4142,4142,Noviciado,Calle de Noviciado 1,40.4256372873217,-3.70760870772328,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4143,4143,Plaza del Rastrillo,Plaza de Juan Pujol 1,40.4255232870934,-3.7041416081464,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4144,4144,San Ildefonso,Plaza de San Ildefonso 5,40.4242463879547,-3.70226572050712,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4145,4145,Barco,Calle del Barco 23,40.4220363825392,-3.7027260933442,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4220,4220,Ingeniero Herrera-Príncipe Carlos,Avda del Alcalde Conde de Mayalde 35,40.4922070862255,-3.65275410191166,,http://www.crtm.es,0,,Europe/Madrid,0
