id_incidencia,id_incidencia_nuevo,nom_tipo_incidencia,fh_inicio,fh_final,descripcion,tramo,utm_x,utm_y,longitud,latitud,es_recurrente,recurrencia
20001,mad-20001,obras,2020-01-07T00:00:00.0000000,2020-12-31T23:59:00.0000000,María Martínez Oviol 20. Entre las calles Encarnación Oviol y Francisco del Pino. Renovación de colector.,,441292.216068928,4466836.05525018,-3.69130922964035,40.3500159039288,FALSE,
20468,mad-20468,obras,2020-01-20T00:00:00.0000000,2020-06-30T00:00:00.0000000,ocupación con corte de circulación del 20/01/2020 a 30/06/2020 7:30 a 19.30 horas.,,447219.103429203,4482817.42573033,-3.62284818922776,40.4943819266558,FALSE,
20348,mad-20348,obras,2020-02-17T09:30:00.0000000,2020-08-14T18:00:00.0000000,Calle ANdrés Tamayo entre calle Bejar y calle Méjico. Motivo: obras del Canal de Isabel II,,442982.601115749,4476469.13412688,-3.67226802357775,40.4369134022665,FALSE,
20509,mad-20509,obras,2020-04-13T00:00:00.0000000,2020-06-11T23:59:00.0000000,Av. Betanzos entre Monforte de Lemos y Melchor Fernandez Almagro. Motivo: renovación de red del Canal de Isabel II.,,439647.750165979,4481008.30279301,-3.71201659312169,40.4775686894086,FALSE,
20603,mad-20603,obras,2020-02-05T00:00:00.0000000,2020-06-30T23:59:00.0000000,Avda. de Las Aguilas / Rafael Finat. Ocupación carril de circulación. Motivo: Renovación red de abastecimiento Canal Isabel II.,,435249.209511697,4470756.26529207,-3.76286058917246,40.3848836611607,FALSE,
20684,mad-20684,obras,2020-02-18T00:01:00.0000000,2020-08-18T23:59:00.0000000,Calle Javier Ferrero entre calle Pantoja y calle Saturnino Calleja. ocupación temporal de la vía pública para obras.,,443133.004970786,4477749.2784929,-3.67060938634736,40.4484558725069,FALSE,
20835,mad-20835,obras,2020-03-02T09:00:00.0000000,2020-10-02T13:00:00.0000000,Calle Ribera del Manzanares a la altura del CDM José María Cagigal. corte entre calle Santa Fé y calle Ribera del Manzanares. ocupación temporal de la vía pública para elevación de materiales.,,437662.320784526,4475923.94622803,-3.73493903480287,40.4316203638309,FALSE,
21026,mad-21026,obras,2020-03-16T00:01:00.0000000,2020-06-13T23:59:00.0000000,Calle Diego de leon nº 26. ocupación temporal de la vía pública para obras.,,442094.211244404,4476254.70922446,-3.68272241379192,40.4349203763469,FALSE,
21044,mad-21044,obras,2020-03-12T00:01:00.0000000,2020-11-06T23:59:00.0000000,Calle Arlabán. ocupación temporal de la vía pública para obras.,,440647.163325069,4474277.30451314,-3.69959765041778,40.4170049877371,FALSE,
21077,mad-21077,obras,2020-03-27T00:01:00.0000000,2020-06-10T23:59:00.0000000,Plaza José Moreno Villa. ocupación temporal de la vía pública para obras.,,439535.077668082,4475102.5492811,-3.71278342010912,40.424359106157,FALSE,
21079,mad-21079,obras,2020-03-27T00:01:00.0000000,2020-06-10T23:59:00.0000000,Calle Ventura Rodríguez. ocupación temporal de la vía pública para obras.,,439450.463896438,4475215.13087422,-3.71379152700842,40.4253671370346,FALSE,
21094,mad-21094,obras,2020-04-14T00:01:00.0000000,2020-06-15T23:59:00.0000000,Calle Princesa. ocupación temporal de la vía pública para obras.,,439574.645374921,4475198.00061085,-3.71232608626787,40.4252218485204,FALSE,
21123,mad-21123,obras,2020-04-27T00:00:00.0000000,2020-09-30T23:59:00.0000000,"OVP-359-2020. 
27-04-2020 al 27-07-2020. Calle Princesa entre Luisa Fernanda y Pl. España sentido Gran Vía. cortado.
28-08-2020 al 30-09-2020. Calle Princesa entre Pl. España y Ventura Rodriguez.
Motivo: proyecto de remodelación de Pl. España.",,439539.370850182,4475255.68256156,-3.712747375652,40.4257389102216,FALSE,
21126,mad-21126,obras,2020-07-20T09:30:00.0000000,2020-08-08T18:30:00.0000000,Calle Jaime El Conquistador. ocupación temporal de la vía pública para hacer canalización.,,440753.898725653,4472035.44503778,-3.69813093133642,40.3968168084319,FALSE,
21127,mad-21127,obras,2020-07-15T09:30:00.0000000,2020-07-23T18:30:00.0000000,Paseo de las Delicias con Paseo del Ferocarril. ocupación temporal de la vía pública para hacer canalización.,,441093.337454769,4472474.37442888,-3.69417202024081,40.4007949902242,FALSE,
21153,mad-21153,obras,2020-05-18T15:44:00.0000000,2020-06-30T23:59:00.0000000,Pza. España / Cuesta San Vicente. Ocupación temporal de la vía pública para obras.,,439506.612880222,4474849.78898079,-3.7130949033072,40.4220800603061,FALSE,
21174,mad-21174,obras,2020-05-19T00:00:00.0000000,2020-07-05T23:59:00.0000000,Calle Virgen de los Peligros / Calle Clavel. Obras y remodelación de la vía.,,440640.898682831,4474510.47452649,-3.69969324778651,40.4191050476212,FALSE,
21175,mad-21175,obras,2020-05-18T00:00:00.0000000,2020-06-12T23:59:00.0000000,Calle Joaquín Turina nº 2. Obras en la vía.,,436173.568332695,4469468.99523924,-3.75184223950111,40.3733587003633,FALSE,
21178,mad-21178,obras,2020-05-21T10:00:00.0000000,2020-07-15T13:00:00.0000000,Calle Aurora nº 2. ocupación temporal de la vía pública para obras.,,438753.07867598,4479543.11102005,-3.72242938914754,40.4643042280221,FALSE,
21180,mad-21180,obras,2020-05-25T00:01:00.0000000,2020-07-31T23:59:00.0000000,Calle Oñate nº 2. ocupación temporal de la vía pública para obras.,,441027.76998514,4479505.07002871,-3.69559696719731,40.4641261098541,FALSE,
