idx,hasSimpleResult,hasResultTime,madeBySensor,observedProperty,validada,tipoMedicion,tipoEmisorPredominante,tipoIntervaloReferencia
202,61.7,2019-12-21T00:00:00,12,nivelRuido,false,LAS50,,D
203,58.9,2019-12-21T00:00:00,12,nivelRuido,false,LAS90,,D
204,57.0,2019-12-21T00:00:00,12,nivelRuido,false,LAS99,,D
205,60.9,2019-12-21T00:00:00,12,nivelRuido,false,LAeq,,E
206,67.0,2019-12-21T00:00:00,12,nivelRuido,false,LAS01,,E
207,62.8,2019-12-21T00:00:00,12,nivelRuido,false,LAS10,,E
208,58.6,2019-12-21T00:00:00,12,nivelRuido,false,LAS50,,E
209,53.5,2019-12-21T00:00:00,12,nivelRuido,false,LAS90,,E
210,50.1,2019-12-21T00:00:00,12,nivelRuido,false,LAS99,,E
211,64.6,2019-12-21T00:00:00,12,nivelRuido,false,LAeq,actividades-comerciales,N
212,75.0,2019-12-21T00:00:00,12,nivelRuido,false,LAS01,,N
213,65.2,2019-12-21T00:00:00,12,nivelRuido,false,LAS10,,N
214,61.2,2019-12-21T00:00:00,12,nivelRuido,false,LAS50,,N
215,55.9,2019-12-21T00:00:00,12,nivelRuido,false,LAS90,,N
216,51.3,2019-12-21T00:00:00,12,nivelRuido,false,LAS99,,N
217,60.3,2019-12-21T00:00:00,13,nivelRuido,false,LAeq,,T
218,68.9,2019-12-21T00:00:00,13,nivelRuido,false,LAS01,,T
219,62.8,2019-12-21T00:00:00,13,nivelRuido,false,LAS10,,T
220,57.8,2019-12-21T00:00:00,13,nivelRuido,false,LAS50,,T
221,51.6,2019-12-21T00:00:00,13,nivelRuido,false,LAS90,,T
222,46.6,2019-12-21T00:00:00,13,nivelRuido,false,LAS99,,T
223,58.8,2019-12-21T00:00:00,13,nivelRuido,false,LAeq,,D
224,67.5,2019-12-21T00:00:00,13,nivelRuido,false,LAS01,,D
225,60.7,2019-12-21T00:00:00,13,nivelRuido,false,LAS10,,D
226,56.0,2019-12-21T00:00:00,13,nivelRuido,false,LAS50,actividades-deportivas-ocio,D
227,52.6,2019-12-21T00:00:00,13,nivelRuido,false,LAS90,,D
228,50.4,2019-12-21T00:00:00,13,nivelRuido,false,LAS99,,D
229,53.2,2019-12-21T00:00:00,13,nivelRuido,false,LAeq,,E
230,62.5,2019-12-21T00:00:00,13,nivelRuido,false,LAS01,,E
231,56.7,2019-12-21T00:00:00,13,nivelRuido,false,LAS10,,E
232,49.3,2019-12-21T00:00:00,13,nivelRuido,false,LAS50,,E
233,44.9,2019-12-21T00:00:00,13,nivelRuido,false,LAS90,,E
234,44.0,2019-12-21T00:00:00,13,nivelRuido,false,LAS99,,E
235,58.6,2019-12-21T00:00:00,13,nivelRuido,false,LAeq,,N
236,67.7,2019-12-21T00:00:00,13,nivelRuido,false,LAS01,,N
237,61.5,2019-12-21T00:00:00,13,nivelRuido,false,LAS10,,N
238,55.6,2019-12-21T00:00:00,13,nivelRuido,false,LAS50,,N
239,46.5,2019-12-21T00:00:00,13,nivelRuido,false,LAS90,,N
240,44.2,2019-12-21T00:00:00,13,nivelRuido,false,LAS99,,N
241,66.0,2019-12-21T00:00:00,14,nivelRuido,false,LAeq,,T
242,73.1,2019-12-21T00:00:00,14,nivelRuido,false,LAS01,,T
243,67.2,2019-12-21T00:00:00,14,nivelRuido,false,LAS10,aeronaves,T
244,64.8,2019-12-21T00:00:00,14,nivelRuido,false,LAS50,,T
245,62.2,2019-12-21T00:00:00,14,nivelRuido,false,LAS90,,T
246,58.6,2019-12-21T00:00:00,14,nivelRuido,false,LAS99,,T
247,66.9,2019-12-21T00:00:00,14,nivelRuido,false,LAeq,,D
248,76.8,2019-12-21T00:00:00,14,nivelRuido,false,LAS01,,D
249,66.1,2019-12-21T00:00:00,14,nivelRuido,false,LAS10,,D
250,63.8,2019-12-21T00:00:00,14,nivelRuido,false,LAS50,,D
251,62.0,2019-12-21T00:00:00,14,nivelRuido,false,LAS90,,D
252,60.4,2019-12-21T00:00:00,14,nivelRuido,false,LAS99,,D
253,61.9,2019-12-21T00:00:00,14,nivelRuido,false,LAeq,actividades-comerciales,E
254,68.6,2019-12-21T00:00:00,14,nivelRuido,false,LAS01,,E
255,64.5,2019-12-21T00:00:00,14,nivelRuido,false,LAS10,,E
256,60.7,2019-12-21T00:00:00,14,nivelRuido,false,LAS50,,E
257,56.6,2019-12-21T00:00:00,14,nivelRuido,false,LAS90,,E
258,54.0,2019-12-21T00:00:00,14,nivelRuido,false,LAS99,,E
